backend,k,epsilon,sigma,tau,draws_per_block,total_queries,terminal_index,target_rate,empirical_central_kth_moment,encode_nanoseconds_per_query,decode_nanoseconds_per_query,public_plan_bytes_per_query,plan_fingerprint,implementation_crosscheck_z,estimate,target,signed_bias_over_epsilon,mean_ci95_halfwidth_over_epsilon,second_moment,second_moment_se,normalized_second_moment,normalized_second_moment_ci95_halfwidth
dyadic,2.0,0.1,1.0,1.4422205101855958,400000,800000,8,763.1039602889372,0.8568034202747076,11.043906270060688,19.749635248444974,11.50017,584a481e7f4a9f87a30a357fb7eda92156d2d469738ca6888daa41cefccb9125,-0.09616846252886395,0.2003180542850742,0.2,0.0031805428507419853,0.028685814697670526,81.74459168096752,7.368609680220431,10.712117343751723,1.8925959927876181
continuous,2.0,0.1,1.0,1.4422205101855958,400000,400000,-1,763.1039602889372,0.9622128564661714,3.586562816053629,11.003020335920155,33.0,6ae6eba5711dd74c3a465196073ead59d6852c4cde51e5226cac5689d5eaa273,-1.7345721418011975,0.20068846528886977,0.2,0.006884652888697607,0.030127322718975856,103.60830421322689,13.310453177526144,13.577220091217615,3.418733172092731
dyadic,2.0,0.063,1.0,1.4422205101855958,400000,800000,8,2164.7955048753365,0.832014879599011,13.749271165579557,19.15000000735745,11.50017,0aed2f603cfb6d6d0e2bdfe5ffb4e7ad456bf65e78722534efe05079f228556f,-0.39469352471473373,0.19980410160841286,0.2,-0.0031094982791611348,0.04486953881181273,83.94026170779487,12.313767265820868,9.769500119704254,2.808982515977801
continuous,2.0,0.063,1.0,1.4422205101855958,400000,400000,-1,2164.7955048753365,0.8316495615105511,5.908332532271743,16.02947770152241,33.0,5b88ee9022d30834320a440c3bf867a4a3dbb8afd96f197355f67aa3b78b21d3,0.013831517497335776,0.20230859665602802,0.2,0.0366443913655239,0.04485954444564441,99.0768992901213,3.747870390675888,11.531198018469869,0.8549538230092295
dyadic,1.5,0.4,1.0,1.3339706235612263,400000,800000,12,37.09016994374946,0.7735097175608101,12.888385099358857,17.572656215634197,11.50025,04342f517fa1ff2fa71c071405b1027d0c93950827484850c808697049013a4f,1.7062515338940134,0.20484949241236897,0.2,0.012123731030922388,0.01313796038032685,1473.727187391752,284.51677160120505,248.33520404914395,93.96911519684528
continuous,1.5,0.4,1.0,1.3339706235612263,400000,400000,-1,37.09016994374946,0.729778555544196,2.3078126832842827,13.015625299885869,33.0,40aa7951ae1ab3649f85461c6f65262d4ae9d835a260bd0cf29f8c42db2f0c82,0.6533340939629722,0.20303106506328922,0.2,0.007577662658223017,0.01115524127533625,718.3250858585711,16.877137691131118,121.04371032607406,5.574116727691009
dyadic,1.5,0.25,1.0,1.3339706235612263,400000,800000,13,151.92133608959784,0.7634427747190319,12.310259917285293,18.963957263622433,11.50027,6c10c306b274802932e341356cab4135ba3a85ff796cdf2a6e9123230d7b4968,0.8766454411150642,0.201736831482962,0.2,0.006947325931847992,0.019490357037802344,1735.0290278627149,180.4243142070148,182.72920157463133,37.243659377738965
continuous,1.5,0.25,1.0,1.3339706235612263,400000,400000,-1,151.92133608959784,1.0668375531144594,2.207917277701199,15.28041495475918,33.0,d9c4c14fca316d80cced06396329964fb95002bdd5c605db9c29857e196af946,0.1090375629921837,0.2018293845150397,0.2,0.007317538060158779,0.046088282429591475,1666.3387156985862,316.7361186416994,175.49489846148677,65.38149898014096
dyadic,1.5,0.16,1.0,1.3339706235612263,400000,800000,14,579.5339053710856,0.8369788351670535,11.334062437526882,19.740103743970394,11.50029,e04f76809fea7913f6c734e35147155de0bd941a22fc775d073477f5c1edad22,0.07176774889091708,0.20046818615154516,0.2,0.002926163447157168,0.03909004041594977,3121.9290396694373,655.6415141547619,210.42833211630727,86.61711241093236
continuous,1.5,0.16,1.0,1.3339706235612263,400000,400000,-1,579.5339053710856,0.7896872298149479,3.9420847315341234,14.669375377707183,33.0,e7d30c634455f508773b876a76f8115bd9374004633255578caff303b185e649,0.6792304246063253,0.19840758301411132,0.2,-0.009952606161804309,0.03379367464696032,1943.4082092010738,77.65837333388718,130.99213431405303,10.25948465356585
